objname,ra,dec,distance,distance_err
UGC07642,187.5574995,2.6249001,10.0,1.993
UGC10736,257.019447,69.464317,10.047,5.164
NGC4509,188.2769925,32.0909275,10.1,2.013
NGC4597,190.053696,-5.7990641,10.1,2.013
NGC6689,278.7094635,70.5238708,10.134,4.826
NGC1003,39.8195985,40.8724963,10.152,4.105
NGC3239,156.2703045,17.1637013,10.17,0.599
ESO362-009,77.9971995,-32.972599,10.18,5.585
UGC09497,221.053476,42.6288596,10.185,6.488
NGC0628,24.1741665,15.7834583,10.19,0.6
UGC03600,103.916658,39.095185,10.19,0.6
UGC05209,146.2673985,32.2378956,10.19,0.6
NGC628dwTBG,23.27833333,16.25138889,10.2,0.601
UGC01056,22.196709,16.6880335,10.2,0.601
UGC01171,24.9367425,15.8994537,10.2,0.601
UGC09893,233.237982,46.4524344,10.2,2.033
UGC01175,24.985827,11.0966955,10.209,4.11
NGC1507,61.1132205,-2.1880558,10.21,4.801
UGC02082,39.0672225,25.4238282,10.226,4.328
NGC4504,188.0726955,-7.5633894,10.232,6.298
NGC3037,147.849999,-27.0111016,10.28,0.606
NGC4118,181.970247,43.1110588,10.293,7.544
ESO497-035,139.241553,-23.2796805,10.3,0.607
IC2684,169.254204,13.0995217,10.3,0.607
IC2787,170.829462,13.6297409,10.3,0.607
NGC0949,37.7029305,37.1365943,10.3,0.66
NGC2835,139.470327,-22.3545759,10.3,2.053
NGC3990,179.398185,55.458715,10.3,0.607
ESO373-020,145.9061985,-32.7411196,10.374,6.81
NGC2841,140.511066,50.9766176,10.38,6.093
UGC03966,115.357902,40.1118996,10.38,0.612
UGC09193,215.308053,36.7435865,10.389,6.977
NGC1518,61.7071755,-21.1726526,10.399,5.325
NGC3299,159.0994215,12.7075322,10.4,0.613
NGC3368dwTBG,161.7833333,11.28388889,10.4,0.613
UGC05812,160.235175,12.4719243,10.4,0.613
NGC3368,161.6904075,11.8199234,10.42,0.614
NGC3377,161.926566,13.9856408,10.42,0.614
UGC05797,159.855,1.7186593,10.42,0.614
ESO362-007,77.617971,-33.0191215,10.432,5.719
UGC03860,112.073514,40.7700661,10.47,0.617
IC2984,179.782455,30.6975575,10.483,7.92
NGC4393,186.4634205,27.5607097,10.498,7.832
UGC01085,22.8280695,7.787916,10.5,2.093
UGC07534,186.5330715,58.3202835,10.5,2.093
ESO572-034,179.7421515,-19.0299684,10.52,0.62
UGC05456,151.831092,10.3626954,10.52,0.62
NGC3486,165.1001865,28.9749673,10.521,7.454
UGC07332,184.483509,0.4361171,10.521,7.441
NGC0244,11.44347,-15.5968728,10.526,3.906
UGC03273,79.435053,53.5514768,10.526,4.705
NGC5608,215.824602,41.7759168,10.53,6.737
ESO418-009,52.9820475,-31.3382803,10.565,5.597
UGC10669,255.10935,70.290901,10.6,2.113
UGC01443,29.391375,3.71475,10.639,3.977
UGC02168,40.253031,17.4315131,10.644,4.378
ESO567-048,154.9232595,-17.7521205,10.645,6.76
ESO373-008,143.339712,-33.033436,10.649,6.671
ESO376-022,162.837513,-34.4305712,10.66,6.365
ESO565-003,140.7917385,-20.1675678,10.67,0.629
NGC0278,13.0179165,47.5505278,10.677,3.999
UGC00731,17.6834085,49.6020551,10.687,3.952
NGC3521,166.453122,-0.0347594,10.7,2.133
NGC3521dwTBG,166.8045833,-0.1875,10.7,0.63
NGC3521sat,166.4195833,0.12083333,10.7,0.63
UGC06145,166.394751,-1.8631453,10.7,0.63
UGC05348,149.503851,47.3245368,10.76,0.634
UGC09660,225.2888235,44.6981791,10.76,0.634
NGC3593,168.6540255,12.8178289,10.8,2.153
UGC00134,3.5134995,12.8966389,10.828,4.12
UGC08382,200.133648,5.4081565,10.85,7.427
ESO565-001,140.364735,-22.5005762,10.86,0.64
UGC05740,158.691315,50.7682516,10.875,6.175
ESO377-003,165.9801255,-34.3583676,10.88,6.111
UGC01195,25.61241,13.9770157,10.888,4.202
UGC05764,159.1810185,31.5464722,10.9,0.642
ESO497-017,137.4425745,-23.0085047,10.91,2.175
UGC05272,147.5933535,31.4877918,10.91,2.175
NGC4487,187.7685975,-8.0538622,10.928,6.793
NGC1036,40.1208555,19.2970173,10.948,4.411
UGC08412,200.7176205,35.1549221,10.997,7.543
UGC01246,26.7526185,12.4056746,11.011,4.193
NGC4020,179.7363345,30.4123519,11.019,7.97
NGC4818,194.2037505,-8.5252917,11.038,6.011
NGC3623,169.7329605,13.092309,11.051,7.71
NGC0746,29.4625005,44.9185833,11.058,4.015
ESO422-041,77.6957145,-31.5970943,11.059,5.816
UGC05451,151.8289875,47.0064909,11.066,6.403
UGC05944,162.57906,13.2719755,11.07,0.652
NGC3510,165.930807,28.8871322,11.071,7.41
UGC00290,7.2848925,15.8990612,11.085,4.187
ESO428-004,108.1487505,-28.6538611,11.105,5.9
ESO548-073,55.2684255,-19.0944368,11.11,5.141
NGC3184,154.57059,41.4243426,11.12,0.655
NGC3627,170.0625345,12.9916041,11.12,0.655
ESO499-037,150.924276,-27.0278638,11.135,6.606
ESO497-004,135.7632105,-23.8070808,11.17,2.226
UGC01200,25.7012655,13.1558676,11.174,4.193
ESO556-002,92.817072,-21.6000239,11.176,5.455
UGC02165,40.314588,38.7436386,11.216,4.129
NGC5470,211.6329645,6.0293208,11.223,5.255
NGC4062,181.0159845,31.8958247,11.23,7.954
NGC1023A,40.157064,39.0575235,11.26,4.121
UGC00672,16.57455,44.954201,11.264,4.082
UGC03698,107.3260815,44.380009,11.27,0.664
UGC09992,235.4496,67.253799,11.27,0.664
NGC3628UCD1,170.254917,13.6081389,11.279,7.704
UGC06102,165.451278,28.6899333,11.294,7.423
UGC05427,151.170519,29.3643495,11.3,0.666
NGC3379,161.956653,12.5816381,11.32,0.667
NGC3412,162.7220985,13.4121612,11.32,0.667
NGC7351,340.3621785,-4.4447373,11.347,4.063
UGC12732,355.165833,26.2361111,11.359,4.23
UGC10090,238.5324,61.1017,11.363,5.956
UGC06446,171.6685725,53.7466649,11.369,6.367
NGC7741,355.9768545,26.0754731,11.373,4.224
UGC04945,140.6112,75.766197,11.381,4.459
UGC09211,215.6345685,45.3833995,11.385,6.849
IC0750,179.71752,42.7224388,11.388,7.503
UGC07007,180.389196,33.3401645,11.431,7.873
NGC5147,201.582573,2.1005528,11.451,7.103
ESO435-016,149.69313,-28.622099,11.466,6.558
NGC4051,180.790416,44.5312149,11.485,7.477
ESO555-028,91.116765,-19.6216012,11.522,5.322
NGC3600,168.966675,41.5911199,11.522,7.372
UGC05288,147.8216325,7.8260299,11.53,0.679
NGC3198,154.978848,45.5497242,11.564,6.541
NGC0660,25.759989,13.6452282,11.573,4.214
IC3476,188.174391,14.0505168,11.593,1.075
NGC4802,193.956813,-12.0553194,11.6,0.75
ESO435-020,149.838444,-28.1333716,11.61,6.531
NGC5963,233.366088,56.5597225,11.639,6.342
IC3341,186.598077,27.7456131,11.64,0.686
NGC5398,210.3400185,-33.0636584,11.64,0.686
ESO568-015,157.9264125,-22.2498046,11.642,6.466
UGC07301,184.175499,46.0788491,11.674,7.413
UGC04527,131.09835,76.917,11.676,4.371
NGC4218,183.943281,48.1310001,11.682,7.336
UGC07022,180.6821775,45.1910698,11.693,7.466
UGC08629,204.627678,8.4423614,11.704,7.334
NGC4389,186.3944085,45.6851917,11.71,7.407
ESO434-041,146.937867,-31.507525,11.716,6.563
NGC4625,190.4696475,41.2738703,11.75,0.692
NGC0100,6.0121095,16.4868117,11.768,4.175
IC3036,183.06294,12.488109,11.798,1.088
UGC02221,41.241606,30.3778794,11.826,4.372
UGC12791,357.205416,26.2206177,11.826,4.185
NGC1370,53.8108275,-20.3736845,11.831,5.375
UGC06055,164.635098,48.7814888,11.84,6.821
NGC4569,189.20808,13.1633946,11.858,1.92
NGC2337,107.556567,44.4573087,11.86,0.699
UGC07512,186.421587,2.1592272,11.86,0.699
UGC08839,208.8544305,17.79487,11.891,7.361
IC1993,56.7699375,-33.7096694,11.896,5.901
NGC1406,54.847116,-31.3214403,11.897,5.821
NGC0337A,15.391296,-7.588158,11.9,4.133
NGC2337dwTBG1,107.12375,44.62388889,11.9,0.701
NGC4565,189.086598,25.9875214,11.9,0.27
IC2782,170.730642,13.4413293,11.909,7.719
UGC00122,3.3230655,17.0294725,11.919,4.115
UGC08246,197.5186275,34.1809862,11.926,7.682
NGC3628,170.0707545,13.5896273,11.929,7.704
ESO357-007,47.601108,-33.1541644,11.933,7.42
UGC08146,195.531957,58.6991921,11.935,6.134
NGC0014,2.192766,15.8165794,11.938,4.103
UGC09320,217.493418,36.8729415,11.951,7.051
UGC10175,241.1570955,30.7147854,11.963,6.133
NGC1055,40.4383785,0.4434215,11.967,4.073
UGC08614,204.3588345,7.6455674,11.969,7.389
UGC09816,229.7000205,59.4623976,11.969,6.129
UGC08578,203.8985055,29.2169854,11.985,7.472
NGC3413,162.836406,32.7663808,12.02,2.396
UGC00017,0.9302685,15.2183134,12.022,4.086
UGC04499,129.422871,51.6523956,12.025,5.803
ESO434-034,146.3742615,-30.3421612,12.038,6.506
UGC08799,208.332642,5.7716873,12.05,1.36
UGC07094,181.544775,42.9557731,12.068,7.486
ESO501-080,160.658781,-23.9357774,12.077,6.396
NGC3489,165.0773565,13.9012298,12.08,0.712
UGC06776,177.1492305,43.7217291,12.084,7.481
NGC7457,345.249708,30.1448889,12.1,0.78
NGC3769,174.4337565,47.893123,12.106,7.366
NGC1679,72.4815495,-31.9656199,12.112,6.911
ESO506-033,190.057521,-25.3268666,12.117,5.816
UGC07391,185.0676555,45.9084388,12.122,7.406
UGC00047,1.6587495,17.2841667,12.124,4.072
NGC4941,196.0546665,-5.5516111,12.13,7.613
NGC7320,339.014202,33.9481578,12.144,4.474
IC4213,198.046569,35.6696989,12.154,7.625
UGC06005,163.3652385,46.0196734,12.159,6.936
NGC7013,315.8898795,29.8973421,12.172,4.485
UGC04514,129.907041,53.4565389,12.193,5.726
ESO499-038,150.958947,-26.6127228,12.2,0.719
IC2233,123.495366,45.7418232,12.2,2.432
NGC2537,123.3112875,45.9901225,12.2,0.719
NGC3056,148.6370085,-28.2981322,12.2,0.79
UGC12713,354.5604167,30.70916667,12.2,2.432
UGC06457,171.801039,-0.994637,12.318,7.776
UGC11874,330.216051,51.5720737,12.334,4.464
UGC07089,181.491,43.1437943,12.342,7.481
UGC06161,166.7046975,43.7230171,12.343,7.27
NGC0428,18.232224,0.9815306,12.378,4.189
UGC03371,89.1522075,75.3162842,12.386,4.215
NGC2500,120.47157,50.7371623,12.4,0.731
NGC2541,123.66717,49.0616237,12.4,2.472
NGC2552,124.835571,50.0096173,12.4,0.731
NGC3941,178.2306585,36.9863456,12.4,0.8
NGC4697,192.149694,-5.8007715,12.4,0.8
UGC03476,97.620045,33.3014347,12.42,0.732
UGC07257,183.7622475,35.9587572,12.42,2.476
UGC10310,244.074585,47.0453217,12.421,6.43
UGC00090,2.507211,16.9402963,12.422,4.056
NGC4691,192.0569475,-3.3328201,12.431,7.688
UGC02275,41.990523,3.8853339,12.434,4.308
