objname,ra,dec,distance,distance_err
UGC12350,346.333869,16.866477,26.83,4.698
ESO382-066,201.6152085,-34.1256944,26.844,5.136
UGC08921,209.8874235,61.2649284,26.852,5.537
IC1291,278.469042,49.2785556,26.856,4.285
ESO400-027,307.0746915,-35.8506134,26.864,5.553
ESO441-007,182.0651295,-32.0086912,26.872,5.069
UGC10887,261.5311365,77.7036044,26.872,5.781
NGC2902,142.720467,-14.7358555,26.873,7.268
ESO443-069,196.7209305,-28.5578421,26.884,5.688
ESO383-035,203.9740545,-34.2955639,26.885,5.093
ESO514-007,229.9986555,-23.9243678,26.893,5.984
ESO487-010,81.7190775,-25.3711928,26.901,6.765
IC1953,53.4244995,-21.4786111,26.921,7.425
NGC3655,170.727558,16.5901972,26.922,7.562
UGC05238,146.7237285,0.5069291,26.922,7.66
UGC01014,21.598242,6.2773839,26.93,5.913
ESO550-008,61.9014165,-21.4310833,26.933,7.069
ESO514-005,229.7649165,-23.8208161,26.939,5.977
ESO564-019,136.3646475,-18.5249541,26.947,7.217
UGC06421,171.107592,27.4564282,26.949,7.316
UGC05798,159.946152,47.9325582,26.953,6.717
NGC5372,208.691643,58.6666194,26.955,5.286
NGC5961,233.815986,30.864223,26.968,5.761
UGC03602,103.861866,15.9344222,26.975,5.128
NGC2699,133.9533105,-3.1274711,27.0,1.74
NGC3640,170.2787475,3.2348187,27.0,1.62
NGC3641,170.2867365,3.1945452,27.0,1.74
NGC3266,158.323383,64.7493744,27.002,7.161
ESO428-020,109.656375,-29.37425,27.015,6.773
ESO438-006,167.394408,-30.3147633,27.028,5.061
ESO581-025,228.3788805,-20.6751368,27.043,6.218
ESO375-059,157.9933845,-35.1985072,27.048,4.484
UGC04722,135.1000245,25.6140406,27.055,7.489
ESO505-009,180.9603135,-27.6024874,27.06,5.305
NGC4159,182.7232515,76.125886,27.094,6.768
UGC12321,345.5792265,16.0273477,27.104,4.754
NGC3504,165.7967925,27.972307,27.106,7.527
ESO482-032,55.1728575,-26.7863459,27.117,7.881
IC0127,22.448388,-6.9800127,27.144,7.596
UGC08639,204.7498935,51.4341346,27.147,4.852
UGC10288,243.6032025,-0.2074278,27.149,7.586
IC4214,199.4277915,-32.1016944,27.152,5.319
UGC06345,170.0652345,2.525254,27.174,7.2
NGC3248,156.9392895,22.8471703,27.18,7.979
UGC09394,218.9164245,13.1700037,27.198,7.212
NGC0720,28.2521685,-13.7385851,27.2,1.75
NGC4386,186.1179585,75.5288889,27.2,1.75
NGC6703,281.8285245,45.5506042,27.2,1.75
NGC5981,234.4723275,59.3920879,27.223,5.101
NGC4749,192.80007,71.6367535,27.238,6.836
ESO490-038,101.3581875,-26.660125,27.24,6.499
IC1952,53.3611935,-23.7127888,27.268,7.595
UGC01075,22.510545,2.8523869,27.274,6.145
UGC04722C,135.108792,25.6392778,27.278,7.49
NGC3629,170.1325335,26.96335,27.29,7.26
NGC5831,226.0290405,1.2199501,27.3,2.14
UGC08892,209.421204,57.001634,27.302,5.063
UGC04556,131.062674,41.7167123,27.303,6.592
ESO580-022,221.5209105,-18.0217421,27.312,6.577
NGC5858,227.2047735,-11.2077496,27.317,7.306
ESO440-044,180.691926,-29.0932861,27.323,5.182
UGC05776,159.506781,64.2663581,27.326,7.122
NGC3611,169.3756515,4.5555312,27.35,7.471
UGC09597,223.750644,30.8247601,27.357,5.369
UGC08101,194.233296,84.1025278,27.364,6.808
ESO505-016,181.8648195,-27.1432969,27.365,5.417
IC2627,167.4724245,-23.7259824,27.365,5.48
IC4536,228.32175,-18.136499,27.367,6.5
ESO508-059,200.47764,-25.4945862,27.373,5.844
UGC06780,177.2100225,-2.0323767,27.378,6.718
UGC08851,208.9090785,39.7162719,27.381,4.879
NGC5756,221.8905195,-14.8535836,27.382,6.714
ESO582-012,231.5334525,-22.2825264,27.39,6.011
NGC4409,186.743694,2.494399,27.391,6.474
NGC1412,55.1223825,-26.8622504,27.394,7.851
NGC2709,134.053605,-3.2430801,27.395,7.562
NGC3259,158.145234,65.0410942,27.396,7.122
NGC6012,238.5579435,14.601172,27.412,7.749
ESO433-010,138.7699215,-28.2631706,27.436,7.214
UGC07995,192.492915,78.384167,27.441,6.765
UGC04551,131.024583,49.7939042,27.442,5.951
ESO566-002,145.8203745,-19.8721111,27.452,6.849
ESO508-052,200.1803535,-25.2477495,27.46,5.848
UGC06241,168.0162555,28.4863609,27.468,7.215
UGC08743,207.3251835,58.6637474,27.471,5.445
ESO580-021,221.455716,-20.8101299,27.473,6.308
NGC7448,345.0153135,15.9801923,27.475,4.753
ESO489-033,94.5432,-24.9206331,27.484,6.26
ESO553-017,77.800041,-19.6130833,27.486,6.046
ESO548-044,53.5802055,-19.4243918,27.487,7.333
UGC04659,133.6686735,47.1047021,27.492,6.355
ESO440-049,181.391766,-31.4235387,27.498,5.111
ESO554-028,85.8122985,-18.6421801,27.499,5.916
NGC3021,147.7381215,33.5535186,27.5,1.1
NGC3543,167.7351645,61.3467955,27.507,5.899
ESO432-013,134.114805,-31.9839376,27.517,6.822
UGC04348,128.501886,85.9447041,27.517,6.882
ESO489-023,93.871134,-22.6027042,27.526,5.95
UGC00871,20.1001725,5.8273095,27.536,6.035
NGC2300,113.085333,85.7088611,27.545,6.515
ESO514-003,229.6498065,-24.1199375,27.546,5.94
ESO490-031,100.591791,-26.8930972,27.549,6.507
UGC06531,173.2050375,39.0849305,27.564,6.401
ESO548-043,53.5438755,-19.5582778,27.588,7.295
NGC1383,54.4134735,-18.3394171,27.615,7.265
NGC4965,196.7890635,-28.228134,27.616,5.689
UGC12308,345.3279045,14.3395871,27.62,4.904
IC0760,181.473,-29.2920556,27.63,5.224
ESO404-018,330.2923095,-32.5784507,27.644,6.597
NGC7347,339.9841575,11.027572,27.664,5.013
NGC3361,161.1215625,-11.2078712,27.669,6.932
UGC05990,163.1598225,34.4829984,27.672,7.533
NGC2848,140.041263,-16.5259717,27.689,7.814
ESO569-014,162.850275,-19.8907914,27.696,5.534
UGC08894,209.4486915,63.397054,27.699,5.571
NGC5812,225.2320425,-7.4572788,27.7,1.79
ESO554-038,87.1493955,-18.6702222,27.706,5.915
ESO487-020,83.0992305,-25.2315181,27.722,6.746
NGC2805,140.0849025,64.1029681,27.727,6.487
UGC08737,207.0695175,68.0849644,27.728,5.989
NGC2852,140.8107285,40.1638436,27.73,6.927
NGC5379,208.893033,59.7428209,27.735,5.516
UGC06169,166.7640195,12.0601076,27.735,7.764
UGC03540,103.646187,82.4791142,27.77,6.276
ESO548-032,53.0807235,-17.7186489,27.771,7.352
ESO499-022,149.0183175,-27.1067306,27.775,5.659
NGC5443,210.549144,55.8140827,27.783,5.085
UGC05854,161.4853275,77.1022329,27.788,6.735
UGC06027,163.776408,63.993209,27.788,6.369
NGC3755,174.139044,36.410315,27.807,6.536
IC2996,181.4525505,-29.972102,27.821,5.177
NGC5205,202.5150195,62.5115364,27.826,5.546
UGC08970,210.703926,57.974663,27.834,5.459
ESO513-024,228.013521,-25.88703,27.843,5.844
UGC06233,167.8677255,6.9075149,27.844,7.606
UGC12141,339.56139,80.6772945,27.859,6.272
NGC5161,202.307958,-33.1737973,27.861,5.193
ESO366-011,100.832391,-35.157978,27.862,6.527
IC4231,200.806692,-26.2991814,27.862,5.821
UGC00957,21.101745,3.8821889,27.873,6.269
NGC5916,230.4079635,-13.1692496,27.886,7.109
IC0560,146.4726735,-0.2683088,27.897,7.559
UGC07767,188.8853745,73.6748333,27.9,1.8
ESO443-061,196.4451255,-28.4221667,27.915,5.634
NGC4947,196.3340985,-35.3373948,27.924,5.039
NGC7606,349.769874,-8.485097,27.934,6.433
ESO427-014,102.8377605,-29.5929083,27.938,6.614
NGC2212,94.6489815,-18.5194812,27.951,6.007
NGC4127,182.1098745,76.804,27.954,6.948
NGC2781,137.864616,-14.8166036,27.957,7.685
NGC5892,228.450933,-15.4636774,27.962,6.844
NGC2907,142.9025805,-16.7347549,27.963,7.796
UGC12221,342.6095835,82.8769444,27.964,6.435
NGC1138,44.151819,43.0474119,27.97,4.238
ESO443-083,198.2321385,-32.6911062,27.994,5.233
NGC5798,224.40813,29.968252,28.0,5.612
NGC7721,354.7021935,-6.5179905,28.0,0.13
NGC7723,354.7378755,-12.9610833,28.0,6.14
NGC4527,188.5352505,2.653794,28.01,6.133
IC0874,199.752198,-27.6286455,28.018,5.738
UGC09071,212.512785,54.2183551,28.02,5.14
NGC2295,101.847579,-26.7362387,28.021,6.577
UGC00614,14.901,35.5603056,28.024,4.233
NGC3380,162.0507045,28.6018052,28.044,7.959
UGC10370,245.896167,45.7454386,28.048,4.741
IC2763,170.5770855,13.0651037,28.05,7.567
NGC5422,210.175128,55.1644509,28.05,5.271
UGC04385,125.966748,14.7522182,28.05,7.109
NGC3187,154.4493525,21.8733281,28.056,7.906
UGC11141,272.9521515,12.0886023,28.058,4.504
UGC03775,108.969,12.1149,28.06,5.923
UGC07968,192.05601,60.2714977,28.062,5.845
IC0499,131.320458,85.7399167,28.063,7.044
NGC2712,134.8769295,44.9139338,28.064,6.517
ESO371-026,133.635417,-32.9374722,28.085,6.991
ESO440-038,180.4282785,-31.7037021,28.085,5.085
NGC2811,139.046301,-16.3126793,28.1,1.29
NGC5582,215.1796485,39.6935867,28.1,1.81
NGC3055,148.8252015,4.2699953,28.105,7.431
NGC5188,202.867752,-34.7944068,28.117,5.068
NGC2663,131.28432,-33.7947244,28.134,7.007
IC4254,201.939333,-27.2224444,28.14,5.735
ESO428-015,109.285638,-29.3813546,28.147,7.167
UGC00634,15.3546645,7.6258773,28.153,5.952
ESO598-017,315.628239,-19.4644012,28.165,5.507
UGC09925,234.132951,16.4402876,28.171,7.949
NGC1359,53.448852,-19.4920265,28.173,7.126
ESO510-058,211.1556045,-24.8330561,28.175,5.939
UGC04524,130.0602075,5.6348661,28.177,7.27
ESO444-004,199.2655005,-31.5890833,28.181,5.314
NGC3712,172.788993,28.5664698,28.182,6.845
ESO374-021,150.454419,-33.2615202,28.203,5.613
ESO548-063,54.895023,-20.0148473,28.21,7.026
NGC6548,271.4967915,18.5871944,28.214,4.346
ESO482-013,54.2244585,-24.91278,28.218,7.607
ESO491-009,103.8548655,-26.6073276,28.237,6.687
ESO428-018,109.3023615,-29.5808787,28.245,7.203
NGC5789,224.1488865,30.2340719,28.248,5.713
UGC10892,262.2669165,74.2578333,28.25,5.653
NGC7817,0.995382,20.7523559,28.257,4.881
UGC09389,218.8886055,12.9082087,28.26,7.274
NGC2076,86.6975595,-16.7823802,28.268,5.703
NGC4533,188.591772,2.3254512,28.274,6.083
ESO491-010,103.8567945,-26.760043,28.276,6.684
NGC3904,177.305043,-29.2768395,28.3,1.83
UGC09910,233.6869155,31.0533485,28.307,5.823
UGC09938,234.299856,30.0771662,28.315,5.886
IC3474,188.1520995,2.6612999,28.317,6.114
ESO489-031,94.3803525,-23.0717978,28.319,6.119
UGC00115,2.695275,88.3348005,28.321,6.508
UGC01519,30.570012,19.1797428,28.334,4.04
UGC05242,146.772999,0.964343,28.34,7.524
ESO482-035,55.3108725,-23.8388344,28.347,7.369
NGC6555,271.954914,17.604687,28.355,4.381
NGC1357,53.321187,-13.6641389,28.356,6.899
IC0114,21.594042,9.9099444,28.358,5.543
NGC5377,209.069445,47.2356505,28.365,5.129
ESO510-059,211.193061,-24.8270711,28.369,5.914
ESO443-085,198.809031,-32.253855,28.373,5.262
IC4303,204.325773,-28.6580801,28.374,5.497
UGC06570,173.9582115,35.3352489,28.381,6.539
IC5334,353.6515935,-4.5339735,28.389,6.532
ESO499-012,148.085877,-26.9498044,28.395,6.144
NGC5631,216.638694,56.5826269,28.4,1.84
UGC05135,144.650718,43.1767728,28.424,6.813
UGC07387,185.072505,4.2019622,28.433,6.433
NGC3395,162.4587915,32.9828333,28.442,7.704
ESO437-002,158.7484665,-28.0784055,28.449,6.255
IC0441,90.6778335,-12.4993056,28.449,5.353
UGC05996,163.2393495,40.3784326,28.45,7.045
ESO603-031,344.3601525,-17.8856131,28.455,6.145
NGC3018,147.4226475,0.6211149,28.455,7.476
ESO466-046,330.683493,-31.9906802,28.457,6.745
NGC0509,20.8504095,9.4335335,28.457,5.612
ESO366-009,100.7083125,-35.5722532,28.462,6.502
NGC0485,20.3650425,7.0181068,28.467,5.886
NGC1266,49.0032315,-2.4273468,28.468,5.4
NGC1169,45.894855,46.3862572,28.472,4.317
IC2604,162.354456,32.7727539,28.483,7.721
NGC7695,353.3125455,-2.7201018,28.486,6.304
ESO513-004,223.8332625,-25.4731178,28.498,5.575
NGC0490,20.5118745,5.36725,28.499,6.23
UGC06599,174.426219,24.1325576,28.505,7.019
IC2268,124.5273375,24.7964391,28.534,6.58
ESO371-011,131.0918055,-34.6940773,28.536,7.008
NGC5389,209.0264205,59.7420061,28.549,5.736
UGC11496,298.2579,67.665001,28.557,4.673
NGC3260,157.2768885,-35.5951366,28.56,5.78
UGC10095,238.8313515,45.4253724,28.575,5.055
NGC2853,140.822259,40.2000823,28.58,6.99
UGC12300,345.154959,12.78225,28.58,5.029
NGC2644,130.3828155,4.9803368,28.585,7.325
NGC3381,162.1034055,34.7114023,28.585,7.613
NGC5915,230.3877915,-13.0917222,28.592,7.101
UGC09146,214.235145,55.8641371,28.593,5.599
UGC06603,174.50889,35.2036374,28.599,6.44
NGC1297,49.809348,-19.1000626,28.6,5.56
NGC6570,272.7805995,14.0929616,28.606,4.451
UGC11357,281.99985,45.4417774,28.606,4.189
ESO428-037,112.5765795,-31.598728,28.616,7.677
ESO444-033,201.517773,-32.1293105,28.618,5.277
UGC07265,183.77025,76.236198,28.63,7.112
NGC3281B,157.967391,-35.2049196,28.633,5.565
UGC04753,136.14084,45.2920916,28.633,6.465
UGC01546,30.8341245,18.6296111,28.638,4.101
NGC6574,272.9633955,14.9815612,28.641,4.408
ESO381-031,194.5764285,-33.2280541,28.646,5.15
UGC10625,254.3453145,38.6725477,28.655,4.773
ESO603-005,340.3646115,-19.4847499,28.673,6.335
NGC3273,157.6215645,-35.6105953,28.675,5.749
UGC11120,271.7592585,20.4882167,28.687,4.426
ESO404-028,331.063293,-32.6040478,28.689,6.737
UGC11105,271.15005,21.637501,28.69,4.437
ESO439-011,171.92082,-30.8373005,28.695,5.295
UGC04396,128.684448,84.3202036,28.705,7.111
NGC3683,171.882672,56.8770213,28.706,5.941
UGC03053,67.040292,21.6553056,28.716,3.993
UGC04297,127.120365,85.6080267,28.737,7.049
UGC11168,273.498408,13.275848,28.743,4.461
ESO375-034,157.0998795,-35.5297202,28.744,5.9
NGC2708,134.033592,-3.3601125,28.754,7.639
ESO513-028,228.6336765,-23.1139792,28.76,5.831
IC2584,157.464606,-34.911622,28.767,5.91
ESO541-005,14.8263255,-20.5790855,28.773,7.972
ESO510-026,209.3979135,-25.7913846,28.784,5.736
UGC03691,107.005233,15.1783198,28.784,5.701
UGC08880,209.297826,50.4357638,28.784,5.327
UGC07844,190.2086265,73.7189281,28.785,6.986
UGC09245,216.361953,56.3201863,28.791,5.696
ESO441-004,181.931784,-29.1996091,28.794,5.257
NGC5687,218.7182535,54.4757598,28.8,1.86
ESO580-005,219.5664705,-22.3244909,28.808,5.93
UGC05898,161.959698,33.7286644,28.834,7.693
ESO572-025,179.3669175,-19.6239289,28.835,5.968
UGC04648,133.399401,45.3355237,28.841,6.28
ESO372-010,138.6170355,-33.9558119,28.862,7.174
NGC3547,167.4830025,10.7208373,28.877,7.656
ESO482-005,53.258958,-24.1327778,28.892,7.286
ESO580-018,221.3573445,-20.6856483,28.896,6.235
ESO602-030,339.212916,-19.8072139,28.898,6.396
UGC08822,208.347228,61.6717257,28.9,5.589
UGC01500,30.3008715,19.6753062,28.904,4.222
ESO549-051,60.7796805,-18.3714549,28.931,6.52
NGC5954,233.646378,15.1992225,28.951,7.961
UGC03598,104.127117,60.6516828,28.951,4.651
UGC05524,153.590532,22.1248447,28.961,7.923
NGC5678,218.023359,57.9214316,28.969,5.849
IC0346,55.4360835,-18.2670556,28.984,6.872
ESO443-019,194.8323825,-29.1784445,28.986,5.452
NGC5035,198.705084,-16.4925278,28.988,5.411
ESO564-027,137.9777775,-20.1169506,28.99,7.749
NGC4261,184.846542,5.8249555,29.0,2.0
NGC5898,229.556643,-24.0980241,29.0,1.87
ESO514-008,230.1279915,-24.469408,29.001,5.763
NGC1343,54.456816,72.571352,29.026,4.715
UGC05934,162.4955745,31.9095107,29.028,7.744
UGC05841,161.232834,76.6879444,29.036,6.919
UGC03314,82.547358,55.870825,29.038,4.27
UGC09083,212.8620615,50.2090402,29.042,5.35
NGC4240,184.351458,-9.9515972,29.053,6.151
ESO441-023,183.9069885,-31.5645348,29.065,5.209
NGC5953,233.634975,15.1937933,29.067,7.856
ESO513-029,228.7233105,-23.1249293,29.093,5.791
NGC0918,36.46185,18.4962296,29.1,2.02
NGC7479,346.236102,12.3228077,29.103,5.089
NGC0488,20.4451665,5.2566944,29.104,6.204
ESO548-072,55.2512985,-19.4550046,29.147,6.629
ESO466-036,330.335292,-31.5297222,29.149,6.978
UGC05249,146.9389905,2.6271182,29.149,7.371
NGC7694,353.3162295,-2.7029898,29.151,6.265
NGC4806,194.0517525,-29.5029872,29.164,5.395
NGC7463,345.466755,15.9818191,29.17,4.773
UGC03890,115.1153745,83.7912843,29.172,7.007
ESO499-034,150.0815835,-24.8043889,29.174,6.695
UGC03316,82.7697345,55.8306444,29.181,4.269
NGC2732,138.353166,79.1873611,29.196,6.89
NGC5480,211.5899235,50.7251039,29.196,5.403
ESO429-006,114.6725415,-31.1951944,29.214,7.735
UGC00958,21.142584,16.5369444,29.225,5.266
UGC05765,159.370443,68.8194989,29.225,6.539
UGC11321,279.805899,44.2532158,29.242,4.287
NGC4581,189.5215365,1.4777364,29.246,5.903
NGC0770,29.8067385,18.9546314,29.25,4.293
UGC07872,190.473,75.306503,29.252,7.104
ESO548-079,55.4836665,-18.8951896,29.259,6.616
UGC01211,25.979661,13.8069209,29.261,4.868
NGC1248,48.2022945,-5.2246978,29.294,5.702
NGC5916A,230.307666,-13.1006111,29.296,7.09
UGC02459,45.1534125,49.043835,29.299,4.206
UGC06304,169.454538,58.3520988,29.306,5.952
NGC2110,88.0474995,-7.4561806,29.309,5.451
NGC2636,132.101667,73.6712778,29.312,6.258
NGC2967,145.513824,0.3364667,29.319,7.491
NGC3258D,157.982172,-35.4097932,29.322,6.254
ESO580-020,221.4385065,-20.7828422,29.33,6.175
IC1084,225.3118755,-7.4749167,29.333,7.915
NGC1421,55.622019,-13.4880176,29.333,6.53
NGC0772,29.8316025,19.0076151,29.345,4.316
NGC5962,234.132,16.6078044,29.362,7.33
IC0455,113.7400005,85.5371667,29.363,6.937
NGC5624,216.646902,51.5852897,29.366,5.609
ESO437-003,158.782209,-27.9913781,29.368,6.783
ESO541-004,14.741631,-18.7426428,29.374,7.921
NGC3643,170.354139,3.0139334,29.404,7.103
UGC08936,210.2203575,49.3754082,29.404,5.355
UGC03433,93.774084,0.1921944,29.409,5.01
NGC4599,190.112874,1.1968875,29.417,5.853
IC0215,33.5393655,-6.8063199,29.423,7.017
ESO547-020,48.2403045,-17.9298682,29.436,7.308
UGC03016,65.3331795,36.7601352,29.437,3.955
UGC09123,213.765459,36.457302,29.444,5.096
UGC05814,160.659291,77.4948889,29.446,6.981
NGC0620,24.248655,42.3233564,29.479,4.238
UGC04054,117.733467,23.8960563,29.483,6.562
ESO371-016,131.7725985,-33.7642575,29.485,7.067
ESO511-047,217.72035,-24.480101,29.498,5.69
NGC7798,359.8561875,20.7499195,29.505,4.828
NGC3023,147.469026,0.6181686,29.511,7.352
IC2608,162.5646825,32.7681841,29.516,7.698
NGC5500,212.5635,48.546087,29.518,5.341
UGC02907,60.663459,78.2786667,29.537,5.809
UGC04832,138.7146585,79.196639,29.553,6.905
ESO428-011,108.8804115,-29.3589361,29.561,7.236
ESO371-024,133.163667,-33.4660833,29.574,7.118
NGC1299,50.0403435,-6.2619729,29.575,5.621
IC0467,112.5766665,79.8724722,29.58,6.471
UGC05224,146.4675585,2.9776852,29.582,7.323
ESO510-032,209.863833,-25.5676111,29.588,5.676
NGC5046,198.9379995,-16.3266667,29.594,5.272
NGC6339,259.2768675,40.845006,29.601,4.839
ESO435-015,149.456589,-31.0109415,29.602,7.695
NGC3692,172.1000925,9.4076564,29.605,7.132
UGC00803,18.8451345,8.0992593,29.608,5.937
UGC00882,20.231295,6.5742504,29.611,6.054
ESO513-018,226.5465285,-26.8709477,29.616,5.415
UGC06341,170.002752,18.2604631,29.624,7.418
NGC6796,290.3788515,61.1459805,29.625,4.821
ESO466-014,328.595304,-31.9691697,29.637,7.135
NGC5439,210.4902975,46.3118823,29.648,5.272
NGC3430,163.0475205,32.950424,29.654,7.66
UGC00942,20.9320605,6.6914359,29.657,5.959
UGC11113,271.379103,23.2725199,29.668,4.458
NGC5667,217.595418,59.4697606,29.679,6.083
ESO437-047,160.622781,-30.8851244,29.699,6.954
NGC0448,18.818841,-1.6261941,29.7,1.91
UGC06306,169.3632105,4.6047865,29.701,7.151
NGC3329,161.1640005,76.8093611,29.709,7.025
NGC1160,45.305208,44.9554167,29.714,4.446
NGC0520,21.146187,3.7923901,29.718,6.342
NGC0636,24.7772265,-7.5126485,29.733,2.19
ESO547-012,47.4038235,-17.8315503,29.749,6.79
NGC5038,198.758925,-15.9517827,29.765,5.264
NGC3203,154.8911985,-26.6987927,29.777,6.937
UGC10200,241.441317,41.3447204,29.78,5.43
IC4323,206.278437,-28.6512135,29.791,5.42
IC2556,153.1567905,-34.7288704,29.797,6.419
IC0469,118.9962495,85.1588889,29.809,6.986
NGC0532,21.322194,9.2640561,29.822,5.551
UGC04482,128.807646,28.753348,29.838,7.404
ESO481-029,52.260351,-26.445302,29.854,7.522
NGC2339,107.0855715,18.7801609,29.866,5.824
UGC04375,125.7969735,22.6646066,29.894,7.074
UGC09951,234.8334855,15.3843629,29.921,7.463
IC3716,191.197986,8.1069444,29.93,4.778
NGC2272,100.672083,-27.4594722,29.959,6.737
NGC5294,206.3256135,55.290813,29.962,6.243
NGC3396,162.4794795,32.9908234,29.978,7.686
NGC5691,219.472221,-0.3988812,29.978,7.432
UGC08914,209.798505,52.3615444,29.993,5.586
ESO464-023,316.7327205,-30.0948548,30.021,6.545
NGC7051,319.9639335,-8.782952,30.026,5.408
NGC2577,125.681073,22.5530479,30.034,7.074
ESO381-038,195.021786,-34.4337327,30.042,5.18
IC4468,219.6114435,-22.3675296,30.064,5.891
NGC1393,54.6607155,-18.4279122,30.089,6.096
UGC04590,131.6665335,13.2136697,30.089,7.681
NGC3613,169.6504965,57.9999533,30.1,1.94
ESO371-008,130.816083,-33.5687778,30.108,7.356
NGC2273A,100.029333,60.0806389,30.136,4.561
IC2361,126.435426,27.8745451,30.15,7.477
NGC2501,119.6251665,-14.3542778,30.155,7.461
IC1265,264.1643895,42.0881981,30.156,4.619
NGC5473,211.1800185,54.8925641,30.183,6.069
UGC09056,212.340141,49.0379243,30.19,5.475
ESO381-041,195.1328025,-34.3738777,30.205,5.183
ESO436-006,154.028502,-27.7999287,30.205,7.214
UGC11111,271.3247595,23.1056102,30.208,4.429
IC2267,124.506342,24.7360929,30.222,7.041
UGC09050,212.1252435,51.2196691,30.231,5.571
UGC01050,22.053678,10.4327911,30.234,5.426
ESO373-005,142.724709,-35.6884167,30.246,7.987
ESO445-075,208.7277135,-28.3691069,30.251,5.456
NGC3458,164.006163,57.1169763,30.256,6.06
NGC2273B,101.6315835,60.3403333,30.258,4.558
NGC4947A,196.086747,-35.2276795,30.258,5.211
NGC2679,132.8872725,30.8653469,30.264,7.397
UGC02767,53.8901145,80.085675,30.275,6.06
UGC00883,20.2533015,17.0739485,30.281,5.386
NGC2986,146.0667405,-21.278215,30.3,1.4
NGC6017,239.314326,5.9983625,30.3,1.96
NGC1076,40.8718755,-14.7543056,30.313,6.178
ESO490-035,100.935246,-27.2665243,30.315,6.759
UGC06903,178.903938,1.2371647,30.315,6.39
UGC05922,162.2563575,-0.6404187,30.328,6.916
UGC07422,185.505438,5.1002146,30.354,5.461
NGC3258C,157.8505875,-35.2204312,30.358,6.887
IC0101,21.035583,9.9305556,30.366,5.487
NGC3752,173.1341835,74.6275401,30.367,7.117
UGC02917,61.503606,79.8386649,30.375,5.994
ESO490-029,100.114209,-27.0395556,30.384,6.753
UGC00903,20.449089,17.5923332,30.385,5.397
NGC2604,128.346309,29.5387746,30.422,7.407
ESO490-028,100.0866615,-27.0975422,30.423,6.747
ESO428-032,111.4194165,-30.4046111,30.444,7.653
NGC1350,52.783584,-33.6283611,30.459,7.933
IC4310,204.738114,-25.8457162,30.465,5.618
UGC11251,277.196388,38.0477448,30.469,4.379
NGC0474,20.0277855,3.4153385,30.475,1.96
ESO466-025,329.6018535,-32.2365093,30.486,7.106
UGC03621,104.7684,14.295,30.494,5.498
NGC5520,213.095055,50.3484461,30.51,5.673
UGC05688,157.602792,70.0515889,30.514,6.132
ESO512-011,220.023633,-23.0871346,30.515,5.801
ESO375-064,158.502966,-35.2822954,30.528,7.058
UGC03522,104.0262495,84.91775,30.548,6.755
ESO434-032,146.157864,-29.3226257,30.551,7.888
ESO489-006,91.936209,-23.4866389,30.553,6.288
UGC01547,30.8342145,22.0409826,30.557,4.272
NGC1145,43.6396005,-18.6350715,30.56,6.513
UGC05004,141.1415055,34.6593291,30.562,7.766
UGC04543,130.8410145,45.7359855,30.563,7.389
NGC1784,76.3629795,-11.8714028,30.583,5.398
ESO501-039,159.2124585,-26.0410918,30.585,6.495
NGC2799,139.3790535,41.9941715,30.615,6.976
NGC5484,211.7008185,55.029893,30.62,6.322
UGC02896,59.75625,79.5563824,30.62,5.976
UGC06039,164.0870835,56.7596196,30.621,6.055
NGC2357,109.4207205,23.3566929,30.625,5.739
NGC5079,199.9085415,-12.6989444,30.633,5.357
UGC01711,33.4404075,24.8906098,30.642,3.996
UGC08658,205.1660835,54.3329231,30.649,6.168
UGC09068,212.555022,48.3177269,30.65,5.561
ESO513-010,224.7058665,-26.1479804,30.674,5.505
ESO358-063,56.5791315,-34.9435493,30.694,5.522
ESO372-009,138.4743,-35.0695,30.702,7.883
UGC00819,19.0022385,6.6370514,30.702,6.103
NGC5448,210.708468,49.1726518,30.715,5.498
NGC4348,185.9748735,-3.4429044,30.716,5.948
NGC4141,182.4471405,58.8491969,30.721,5.987
NGC5958,233.7047895,28.6553102,30.722,6.131
NGC1159,45.193833,43.1625278,30.723,4.251
UGC05757,159.538125,79.3663611,30.726,7.169
ESO490-044,101.683512,-27.2780293,30.733,6.76
NGC5974,234.7600695,31.7599097,30.735,6.014
ESO512-023,222.8074935,-26.6312498,30.737,5.532
UGC02620,50.071875,80.2462778,30.739,6.128
ESO490-004,97.261962,-23.6556101,30.745,6.483
ESO462-031,307.967721,-30.7988146,30.747,6.871
UGC06998,180.1987515,-0.0233558,30.761,6.03
ESO500-032,155.7135135,-24.3381407,30.77,6.689
UGC04712,134.848365,11.1352472,30.772,7.628
ESO580-051,223.4324475,-22.0922017,30.781,5.743
UGC06728,176.316666,79.6815,30.793,7.302
NGC6757,286.2749415,55.717928,30.8,4.634
ESO560-004,114.7519695,-22.0462594,30.801,7.482
NGC5526,213.473601,57.7714231,30.804,6.604
UGC03751,108.4745055,23.0801574,30.806,5.825
UGC10589,252.5977605,55.8386227,30.831,5.037
ESO513-030,228.786666,-22.8044321,30.838,5.635
NGC2365,110.5939035,22.0832995,30.841,5.918
IC2256,124.2268035,24.1768771,30.842,7.084
NGC7247,334.4225505,-23.7299916,30.848,6.594
ESO445-089,210.2665275,-30.3271548,30.855,5.529
ESO403-036,327.54555,-35.7077299,30.871,7.392
ESO404-017,330.232707,-35.2870053,30.871,7.088
ESO380-017,185.215503,-34.7868379,30.877,5.296
